otu_id,lineage,CKG1,CKG2,CKG3,MPSG1,MPSG2,MPSG3
otu50,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia_muciniphila,33361,35213,6040,5760,35354,837
otu51,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter_typhlonius,48240,17439,106979,6902,6949,7626
otu53,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_acidifaciens,9645,14540,19467,16053,81445,26942
otu54,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium_sp._An138,33110,71724,25479,7493,15728,7432
otu57,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium_sp._An131,27369,60697,21809,6130,13158,6167
otu58,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp._ASF502,33554,28219,34475,9187,19742,9072
otu61,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Hungatella;s__Hungatella_hathewayi,35500,32057,20546,7998,8494,7948
otu62,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Unclassified;s__Lachnospiraceae_bacterium_M18-1,25149,25978,25465,5927,20293,4951
otu64,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._MGM1,8953,5873,8688,5301,55906,7208
otu66,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._CAG:873,5960,11174,11746,22494,19188,19664
otu67,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Acutalibacter;s__Acutalibacter_sp._1XD8-33,29502,20445,19166,7473,9815,6300
otu69,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_sartorii,7154,15265,13824,10481,18738,10132
otu70,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Unclassified;s__Desulfovibrionaceae_bacterium,22523,45789,16037,4076,2455,2816
otu71,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Unclassified;s__Muribaculaceae_bacterium_Isolate-042_(Harlan),7146,17898,6497,18626,14931,12832
otu72,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Unclassified;s__Lachnospiraceae_bacterium_28-4,20651,20779,16553,7208,9965,5342
otu73,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Unclassified;s__Muribaculaceae_bacterium_Isolate-105_(HZI),4241,15052,4957,20514,10783,25299
otu74,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron,7173,12780,7722,17793,15374,13824
otu75,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus_sp._G3(2012),25199,22050,17989,5563,8378,6202
otu76,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_sp._CHKCI003,7064,4571,10607,11068,15835,18070
otu78,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Unclassified;s__Muribaculaceae_bacterium_Isolate-002_(NCI),3647,11058,9041,11466,28014,12532
otu79,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_senegalensis,9651,4553,7955,10535,16747,15324
otu80,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium_sp._An196,17673,28159,16212,5104,2565,12398
otu81,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Unclassified;s__Clostridiaceae_bacterium_DSM_106076,20892,19241,14134,5886,10214,5046
otu82,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Unclassified;s__Lachnospiraceae_bacterium_3-2,17407,24257,13462,8480,7377,4195
otu83,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Pseudoflavonifractor;s__Pseudoflavonifractor_sp._Marseille-P3106,9351,7905,4967,7803,16923,4598
otu85,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_sp._CAG:927,3657,6806,7785,13095,15560,14064
otu86,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_merdae,5457,13478,12293,12895,13357,7711
otu87,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Acutalibacter;s__Acutalibacter_muris,21371,14621,15460,5052,6932,5016
otu88,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis,4366,4825,9532,10085,17661,13103
otu89,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium]_clostridioforme,20073,14977,13465,4832,6674,4937
otu90,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Unclassified;s__Muribaculaceae_bacterium_Isolate-039_(Harlan),4401,6942,8264,11540,10709,12892
otu91,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__Rikenella_microfusus,7001,2034,2921,9610,14862,12470
otu92,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_distasonis,5172,3794,6260,6860,25749,7506
otu93,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_sp._CAG:268,7035,3386,6050,7585,14439,11633
otu95,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_caecimuris,3760,6804,7229,7888,18546,10851
otu96,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Unclassified;s__Muribaculaceae_bacterium_Isolate-004_(NCI),2843,9953,3412,13863,7938,16407
otu98,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus,5093,8777,8671,6271,13495,6784
otu99,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter_hepaticus,16141,5027,29501,3234,746,5197
otu100,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Unclassified;s__Lachnospiraceae_bacterium_AM48-27BH,19386,15910,12718,6133,2475,5219
otu101,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp._ASF356,6984,5117,14969,10375,7398,3717
otu102,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis,5764,6687,6145,9947,11157,8854
otu105,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Turicimonas;s__Turicimonas_muris,1089,17536,3222,17734,6262,9189
otu106,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_oris,5110,7857,4103,11462,9094,8343
otu107,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor;s__Flavonifractor_plautii,16547,13386,11519,3894,6073,3371
otu109,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_sp._CAG:709,5395,1142,8175,4485,13077,10565
otu110,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter;s__Turicibacter_sanguinis,559,4435,526,13253,4059,25856
otu112,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii,14614,11370,8699,4087,6005,4509
otu113,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__Anaeroplasma_bactoclasticum,22703,128,136,9285,166,6122
